id;school_id;school_code;school_shortcode;phonenumber;address;school_name;registrationdate;status;free_field_1;free_field_2;free_field_3;is_school_account_number_absa;school_account_number;is_deleted
1;8620a057-5a99-4d97-9985-c733beec960f;Metrics;22052;Investor;and;Taka whiteboard;2023-04-24;ACTIVE;France Branding;Coves bifurcated HTTP;revolutionize policy;false;true;False
2;7b78e3a1-e2c6-4763-8d0d-004d42fbf96f;Directives compress;22040;payment;dynamic Refined Shoes;programming Computers;2023-04-24;PENDING;Money mission-critical Licensed;modular;Security standardization Toys;false;false;True
3;16dc159a-2460-47ef-bd74-4c54345c06c5;Compatible;63955;silver;Berkshire;edge;2023-04-24;INACTIVE;transition turquoise;Kroon;port;true;false;False
4;61dc7b6c-0adc-4a46-b6c5-7e7c2193fd39;Tasty Buckinghamshire GB;66672;cross-media invoice Avon;Agent;Rhode Agent;2023-04-25;PENDING;Operations Ford deposit;Turkey;global Freeway;false;false;False
5;5d9d39eb-1d93-4abd-8301-80bf6777a687;Profit-focused;53186;Throughway;Account azure Rustic;envisioneer;2023-04-25;ACTIVE;Avon;deliverables;Berkshire Keyboard People's;true;true;True
6;01effb77-eff1-42d1-b52b-9b1b8438eb31;conglomeration Overpass Rubber;48902;Incredible Plastic cross-platform;leading-edge bypassing compressing;online Architect;2023-04-24;INACTIVE;multi-byte Cambridgeshire bandwidth;Tools Vietnam;Markets multi-byte;false;false;True
7;b664ac33-7c67-490b-999c-4fff22838ac3;blockchains;50541;synergies;Incredible;Optimized navigate toolset;2023-04-25;ACTIVE;Bedfordshire;experiences Ramp;Account;true;true;True
8;b822ebed-1d31-4845-bdda-0b36894efc4f;engage open-source;73213;Gorgeous Licensed back-end;redefine GB USB;knowledge;2023-04-25;INACTIVE;User-friendly Associate;up Product;Reduced;false;false;False
9;15c0d18b-6b69-455a-9153-71c566c687db;compress Somoni;41955;Brook deposit;experiences Roads;product;2023-04-25;PENDING;scalable;Direct;payment;false;true;False
10;df4745e3-244a-4340-bd4e-b37e5a68d39b;virtual Legacy efficient;51855;National input Soft;Paradigm;markets;2023-04-24;PENDING;initiatives Idaho;generating AGP syndicate;Loan success;false;true;True
