id;partner_id;partner_code;partner_shortcode;phonenumber;address;partner_name;registrationdate;is_absa_partner;status;free_field_1;free_field_2;free_field_3;provide_debit_account;provide_credit_account;is_deleted
1;48a4bb05-b4df-40dc-aa88-6c22561dacf2;35148;68787;transmitter matrix synthesize;channels revolutionize;Soap Multi-layered;2023-04-25;false;INACTIVE;multi-byte value-added brand;Loan THX;deposit human-resource;true;true;True
2;e097f2b9-1f8d-4ef8-ba2b-7893d762e207;67787;8604;grey withdrawal Shoes;quantify;Executive;2023-04-25;true;ACTIVE;Chicken Front-line Bacon;Keyboard International Awesome;Investment;false;true;True
3;58057efc-db56-4559-b1da-b6d2eca3d2e7;99719;86234;Towels Courts;Generic Jamaican grow;Generic;2023-04-24;false;INACTIVE;Handmade;Loan Kwacha Metal;Switchable index;false;true;True
4;675d66a0-3438-47f5-96c4-737d44161ee6;62699;64382;web-readiness Towels Bahamas;Rubber Dollar;paradigm;2023-04-24;true;PENDING;Re-engineered feed Dalasi;client-driven Organic;Avon Buckinghamshire;false;true;True
5;3ce6fce5-b6a2-4ecc-8161-33a2a65549f0;16388;34374;invoice;USB;holistic grow;2023-04-24;true;INACTIVE;Customer e-services;Tuna;Wooden harness;false;false;False
6;21e5d74d-8b79-466b-99a2-a66fe5afa230;23913;44980;Arizona navigating;generation;Somoni RSS;2023-04-24;true;INACTIVE;Representative;Senegal;Health;false;true;True
7;a0142ad5-c802-4a7d-b6ba-112cfed22b78;31466;55722;Republic);contextually-based Cheese Direct;payment copying;2023-04-25;true;PENDING;whiteboard Virginia program;testing withdrawal;feed;true;false;False
8;c4deed91-07f3-4f56-b515-bee7e1bec0f3;72309;7604;JBOD Account architect;Associate Shirt envisioneer;Web index;2023-04-24;true;ACTIVE;Compatible;override Account Mouse;bus parse;true;false;True
9;51432d97-225a-476a-ba88-b1028225c420;41254;35540;Illinois Granite e-enable;mindshare;Coordinator pink;2023-04-24;true;INACTIVE;line;Regional;Licensed Chair;false;true;False
10;54c35520-a802-4ad2-8b20-8885f3a49027;73923;73322;Chief;payment Checking Optimization;hardware flexibility input;2023-04-25;false;PENDING;digital;Orchestrator;tan revolutionary Account;true;false;False
